id,Name,Calories,Grams of Protein,Grams of Fat,Grams of Sodium,Grams of Fiber,Grams of Carbohydrates,Grams of Sugars,Cups Per Serving,Box Image,CMU Link
1,100% Bran,70,4,1,130,10,5,6,0.33,https://www.innit.com/public/products/images/00043000180327-vnixRi8UOOMAoo4-en-US-0_s500.jpg,cmu://808871/35455085/Screenshot+2024-12-03+2.56.41+PM.png
2,All-Bran,70,4,1,260,9,7,5,0.33,https://images.kglobalservices.com/www.allbran.ca_en/en_ca/product/product_4508444/kicproductimage-124883_ab_orig_525g_claims_3d_e.png,cmu://808871/35515399/Screenshot+2024-12-04+9.20.11+PM.png
3,All-Bran with Extra Fiber,50,4,0,140,14,8,0,0.5,https://i.pinimg.com/originals/8c/83/0c/8c830cf968e0c210fb9dfb46d35d067a.jpg,cmu://808871/35558172/Screenshot+2024-12-05+3.15.13+PM.png
4,Almond Delight,110,2,2,200,1,14,8,0.75,https://i.pinimg.com/originals/21/d2/f2/21d2f255ffedc36ab943d4336ba070ae.jpg,cmu://808871/35558344/Screenshot+2024-12-05+3.18.53+PM.png
5,Apple Cinnamon Cheerios,110,2,2,180,1.5,10.5,10,0.75,https://target.scene7.com/is/image/Target/GUEST_fd514de8-74e2-43be-93d9-2ee9a565189f?wid=488&hei=488&fmt=pjpeg,cmu://808871/35515481/Screenshot+2024-12-04+9.25.45+PM.png
6,Apple Jacks,110,2,0,125,1,11,14,1,https://upload.wikimedia.org/wikipedia/en/thumb/e/e1/Apple-Jacks-Box-Small.jpg/220px-Apple-Jacks-Box-Small.jpg,cmu://808871/35564941/Screenshot+2024-12-05+9.27.23+PM.png
7,Basic 4,130,3,2,210,2,18,8,0.75,https://image.influenster.com/eyJidWNrZXQiOiAiaW5mbHVlbnN0ZXJfcHJvZHVjdGlvbiIsICJleHRlbmQiOiB7fSwgImtleSI6ICJtZWRpYS9wcm9kdWN0L2ltYWdlL3Byb2R1Y3QvaW1hZ2UvMDAwMTYwMDAyNzUzNjJfQzFDMV9zMTEwXzEzMDkxNjU0LWZiZDAtNDhlZi1iOTFmLTRkYTk2NTM1YzIyYi5qcGciLCAiZWRpdHMiOiB7InJlc2l6ZSI6IHsiaGVpZ2h0IjogNzUwLCAiYmFja2dyb3VuZCI6IHsiYWxwaGEiOiAwLCAiYiI6IDEsICJyIjogMSwgImciOiAxfSwgImZpdCI6ICJpbnNpZGUiLCAid2lkdGgiOiA3NTAsICJ3aXRob3V0RW5sYXJnZW1lbnQiOiB0cnVlfX19,cmu://808871/35564962/Screenshot+2024-12-05+9.29.15+PM.png
8,Bran Chex,90,2,1,200,4,15,6,0.67,https://live.staticflickr.com/3146/2608064112_50f7c81bba.jpg,cmu://808871/35564973/Screenshot+2024-12-05+9.30.42+PM.png
9,Bran Flakes,90,3,0,210,5,13,5,0.67,https://images-na.ssl-images-amazon.com/images/I/71vVbfVBWfL._SY445_.jpg,cmu://808871/35564983/Screenshot+2024-12-05+9.31.28+PM.png
10,Cap'n'Crunch,120,1,2,220,0,12,12,0.75,https://lh3.googleusercontent.com/proxy/_Axx0GJhoEBLl3aPn8htV92L3cv4FYE3UfPR48x-Ju9YT-9qaZ1F6mhQxTNecoKHkKoj4dxdmaA5dRysCGTo4MqYyT_Qs48kfgb1q0MucoeM4N9e8_gUpfN6F3sbbHj6VnB3hDE4-Q,cmu://808871/35564994/Screenshot+2024-12-05+9.33.36+PM.png
11,Cheerios,110,6,2,290,2,17,1,1.25,https://www.kroger.com/product/images/xlarge/front/0001600012541,cmu://808871/35565005/Screenshot+2024-12-05+9.34.49+PM.png
12,Cinnamon Toast Crunch,120,1,3,210,0,13,9,0.75,https://www.kroger.com/product/images/xlarge/front/0001600012254,cmu://808871/35565014/Screenshot+2024-12-05+9.35.50+PM.png
13,Clusters,110,3,2,140,2,13,7,0.5,https://i.pinimg.com/originals/97/3e/aa/973eaa5c1a91ccd1ea777d89cc977227.jpg,cmu://808871/35565051/Screenshot+2024-12-05+9.39.49+PM.png
14,Cocoa Puffs,110,1,1,180,0,12,13,1,https://upload.wikimedia.org/wikipedia/en/thumb/c/cf/CocoaPuffs.jpg/200px-CocoaPuffs.jpg,cmu://808871/35565058/Screenshot+2024-12-05+9.40.56+PM.png
15,Corn Chex,110,2,0,280,0,22,3,1,https://image.influenster.com/eyJrZXkiOiAibWVkaWEvcHJvZHVjdC9pbWFnZS9jaGV4X2JsdWViZXJyeS0xX0pGNkNNdkkuanBnIiwgImVkaXRzIjogeyJyZXNpemUiOiB7IndpdGhvdXRFbmxhcmdlbWVudCI6IHRydWUsICJmaXQiOiAiaW5zaWRlIiwgImJhY2tncm91bmQiOiB7ImciOiAxLCAiYiI6IDEsICJyIjogMSwgImFscGhhIjogMH0sICJ3aWR0aCI6IDc1MCwgImhlaWdodCI6IDc1MH19LCAiYnVja2V0IjogImluZmx1ZW5zdGVyX3Byb2R1Y3Rpb24iLCAiZXh0ZW5kIjoge319,cmu://808871/35565076/Screenshot+2024-12-05+9.42.20+PM.png
16,Corn Flakes,100,2,0,290,1,21,2,1,https://images.kglobalservices.com/www.kelloggs.co.nz/en_nz/product/product_449/prod_img-198128_kelloggs-corn-flakes.png,cmu://808871/35565082/Screenshot+2024-12-05+9.43.20+PM.png
17,Corn Pops,110,1,0,90,1,13,12,1,https://ipcdn.freshop.com/resize?url=https://images.freshop.com/00038000010118/2d935d93fa63b8502ed1caa5c29fc12c_large.png&width=512&type=webp&quality=40,cmu://808871/35565096/Screenshot+2024-12-05+9.44.15+PM.png
18,Count Chocula,110,1,1,180,0,12,13,1,https://i.pinimg.com/originals/04/43/a9/0443a968ba6c129c4c48aa5a1e1c0af6.jpg,cmu://808871/35565119/Screenshot+2024-12-05+9.45.53+PM.png
19,Cracklin' Oat Bran,110,3,3,140,4,10,7,0.5,https://images.kglobalservices.com/www.kelloggs.com/en_us/product/product_4508493/kicproductimage-126031_cob_fp.jpg,cmu://808871/35565132/Screenshot+2024-12-05+9.46.45+PM.png
20,Crispix,110,2,0,220,1,21,3,1,https://i5.walmartimages.com/asr/743c0fb0-f2d7-4daa-9d69-3b70d2991a3f_1.19585a6c47ee9a0d8ba89f8a5a6f8a95.jpeg,cmu://808871/35565140/Screenshot+2024-12-05+9.47.23+PM.png
21,Crispy Wheat & Raisins,100,2,1,140,2,11,10,0.75,https://lh3.googleusercontent.com/proxy/6iWI2_Dj6Qqxirj53Gp6qCy2vTQt5wRW8KuwG7ph3EZH3zwfNQ1IFJmojUDzKqRptAdfjbGAyGDC8KMAQX12NSFFnpXKXkUKCH9C-VZv3i3JdxPp4Ezp2uWFrygv,cmu://808871/35565166/Screenshot+2024-12-05+9.50.21+PM.png
22,Double Chex,100,2,0,190,1,18,5,0.75,https://i.pinimg.com/originals/a8/3e/bd/a83ebd7fe8d7e532ceea5fac959dcad8.jpg,cmu://808871/35565194/Screenshot+2024-12-05+9.52.52+PM.png
23,Froot Loops,110,2,1,125,1,11,13,1,https://images.kglobalservices.com/www.kelloggs.com.au/en_au/product/product_4508497/prod_img-3394699_kelloggs-froot-loops.png,cmu://808871/35565199/Screenshot+2024-12-05+9.53.36+PM.png
24,Frosted Flakes,110,1,0,200,1,14,11,0.75,https://ipcdn.freshop.com/resize?url=https://images.freshop.com/00038000596582/9cd8d7e41bcd50244c3e155a88bd96ec_large.png&width=512&type=webp&quality=40,cmu://808871/35565212/Screenshot+2024-12-05+9.54.26+PM.png
25,Frosted Mini-Wheats,100,3,0,0,3,14,7,0.8,https://target.scene7.com/is/image/Target/GUEST_18f8d237-1c67-4d3a-9d5a-d4bf0e006792?wid=488&hei=488&fmt=pjpeg,cmu://808871/35565228/Screenshot+2024-12-05+9.55.54+PM.png
26,Fruit & Fibre,120,3,2,160,5,12,10,0.67,https://i.pinimg.com/236x/17/0d/f8/170df81d592bb9a54cfe79d1414f2a0a.jpg,cmu://808871/35565238/Screenshot+2024-12-05+9.57.29+PM.png
27,Fruitful Bran,120,3,0,240,5,14,12,0.67,https://whenhub.blob.core.windows.net/media/59a583bfb198651a04678cc7/c.png,cmu://808871/35565286/Screenshot+2024-12-05+10.03.15+PM.png
28,Fruity Pebbles,110,1,1,135,0,13,12,0.75,https://cdn.shopify.com/s/files/1/0371/5507/8189/products/Fruity_Pebbles_Beauty_Box_120318_Right-r_580x.png?v=1584998197,cmu://808871/35565304/Screenshot+2024-12-05+10.04.10+PM.png
29,Golden Crisp,100,2,0,45,0,11,15,0.88,https://www.kroger.com/product/images/large/front/0088491211762,cmu://808871/35565312/Screenshot+2024-12-05+10.05.35+PM.png
30,Golden Grahams,110,1,1,280,0,15,9,0.75,https://i5.walmartimages.com/asr/a3df404d-b74f-48ca-adce-c2f386a5a962_1.5978dd3f25358512fde79fbb0aa50d6d.jpeg,cmu://808871/35565321/Screenshot+2024-12-05+10.06.35+PM.png
31,Grape Nuts Flakes,100,3,1,140,3,15,5,0.88,https://www.meijer.com/content/dam/meijer/product/0088/49/1210/91/0088491210910_0_A1C1_1200.png,cmu://808871/35565336/Screenshot+2024-12-05+10.08.35+PM.png
32,Grape-Nuts,110,3,0,170,3,17,3,0.25,https://target.scene7.com/is/image/Target/GUEST_95622f9e-95e9-48a7-aa7f-bbdb446f3a8b?wid=488&hei=488&fmt=pjpeg,cmu://808871/35565344/Screenshot+2024-12-05+10.09.39+PM.png
33,Great Grains Pecan,120,3,3,75,3,13,4,0.33,https://images-na.ssl-images-amazon.com/images/I/9165Bo7X9jL._SL1500_.jpg,cmu://808871/35565351/Screenshot+2024-12-05+10.11.12+PM.png
34,Honey Graham Ohs,120,1,2,220,1,12,11,1,https://images-na.ssl-images-amazon.com/images/I/81EMhAlUAqL._SL1500_.jpg,cmu://808871/35565361/Screenshot+2024-12-05+10.12.17+PM.png
35,Honey Nut Cheerios,110,3,1,250,1.5,11.5,10,0.75,https://images-na.ssl-images-amazon.com/images/I/91L%2BgooY40L._SL1500_.jpg,cmu://808871/35565365/Screenshot+2024-12-05+10.12.53+PM.png
36,Honey-comb,110,1,0,180,0,14,11,1.33,https://images-na.ssl-images-amazon.com/images/I/91Kxbx7ei9L._SL1500_.jpg,cmu://808871/35565376/Screenshot+2024-12-05+10.13.50+PM.png
37,Just RIght,110,2,1,170,1,17,6,1,https://cdn11.bigcommerce.com/s-szcye2zgx6/images/stencil/1280x1280/products/1030/1127249/e2f6eb746a51a5c42faeccc209f9d4d14288690751c63aa068a3f3af033e23bc__31469.1585591309.jpg?c=2?imbypass=on,cmu://808871/35565419/Screenshot+2024-12-05+10.18.12+PM.png
38,Just Right Fruit & Nut,140,3,1,170,2,20,9,0.75,https://images.kglobalservices.com/www.kelloggs.co.nz/en_nz/product/product_3431464/prod_img-3431466_kelloggs-just-right-fruit-nut-fusion.png,cmu://808871/35565432/Screenshot+2024-12-05+10.19.14+PM.png
39,Kix,110,2,1,260,0,21,3,1.5,https://images.heb.com/is/image/HEBGrocery/000984248,cmu://808871/35565439/Screenshot+2024-12-05+10.20.14+PM.png
40,Life,100,4,2,150,2,12,6,0.67,https://images-na.ssl-images-amazon.com/images/I/81kAJpLYR6L._SY445_.jpg,cmu://808871/35565449/Screenshot+2024-12-05+10.21.33+PM.png
41,Lucky Charms,110,2,1,180,0,12,12,1,https://www.kroger.com/product/images/xlarge/front/0001600012399,cmu://808871/35565459/Screenshot+2024-12-05+10.22.16+PM.png
42,Maypo,100,4,1,0,0,16,3,1,https://images-na.ssl-images-amazon.com/images/I/81i3wta3p8L._SL1500_.jpg,cmu://808871/35565468/Screenshot+2024-12-05+10.23.05+PM.png
43,Multi-Grain Cheerios,100,2,1,220,2,15,6,1,"https://images-na.ssl-images-amazon.com/images/I/81-If8waNEL._SX569_PIbundle-2,TopRight,0,0_AA569SH20_.jpg",cmu://808871/35565479/Screenshot+2024-12-05+10.24.00+PM.png
44,Nut&Honey Crunch,120,2,1,190,0,15,9,0.67,https://www.mrbreakfast.com/cereal/c_717_nut_honey_crunch_box.jpg,cmu://808871/35565482/Screenshot+2024-12-05+10.24.39+PM.png
45,Nutri-grain Wheat,90,3,0,170,3,18,2,1,https://i.pinimg.com/originals/2e/a6/c4/2ea6c422e199250adc0938bfce799b61.gif,cmu://808871/35565502/Screenshot+2024-12-05+10.26.40+PM.png
46,Oatmeal Raisin Crisp,130,3,2,170,1.5,13.5,10,0.5,https://jetimages.jetcdn.net/md5/a5005e3cf3649e661ecae4229647e194?odnBound=576,cmu://808871/35565518/Screenshot+2024-12-05+10.28.09+PM.png
47,Product 19,100,3,0,320,1,20,3,1,https://images-na.ssl-images-amazon.com/images/I/91czSVoNLcL._SY445_.jpg,cmu://808871/35565526/Screenshot+2024-12-05+10.29.01+PM.png
48,Puffed Rice,50,1,0,0,0,13,0,1,https://media.swansonvitamins.com/images/items/master/AHM019.jpg,cmu://808871/35565529/Screenshot+2024-12-05+10.29.57+PM.png
49,Puffed Wheat,50,2,0,0,1,10,0,1,https://d2lnr5mha7bycj.cloudfront.net/product-image/file/large_b6a5e99f-0583-43e3-9ab3-f47b0c5ef259.jpg,cmu://808871/35565534/Screenshot+2024-12-05+10.30.40+PM.png
50,Quaker Oat Squares,100,4,1,135,2,14,6,0.5,https://target.scene7.com/is/image/Target/GUEST_46a60cc8-f22e-4534-b20b-ba747da20cd3?wid=488&hei=488&fmt=pjpeg,cmu://808871/35565540/Screenshot+2024-12-05+10.31.28+PM.png
51,Raisin Bran,120,3,1,210,5,14,12,0.75,https://cdn3.volusion.com/no4tr.u43q3/v/vspfiles/photos/DE689934-2.jpg?v-cache=1555470071,cmu://808871/35565561/Screenshot+2024-12-05+10.33.11+PM.png
52,Raisin Nut Bran,100,3,2,140,2.5,10.5,8,0.5,https://images-na.ssl-images-amazon.com/images/I/81%2BnuQXdciL._SL1500_.jpg,cmu://808871/35565568/Screenshot+2024-12-05+10.34.07+PM.png
53,Raisin Squares,90,2,0,0,2,15,6,0.5,https://dlisted.com/wp-content/uploads/2017/04/hbraisingsquares-500x645.jpg,cmu://808871/35565581/Screenshot+2024-12-05+10.36.09+PM.png
54,Rice Chex,110,1,0,240,0,23,2,1.13,https://ipcdn.freshop.com/resize?url=https://images.freshop.com/00016000487956/f8d7399427fbb20cb9eee4cbbc21cb07_large.png&width=512&type=webp&quality=40,cmu://808871/35565584/Screenshot+2024-12-05+10.37.16+PM.png
55,Rice Krispies,110,2,0,290,0,22,3,1,https://ipcdn.freshop.com/resize?url=https://images.freshop.com/00038000199943/7347f13d8dd3b7c9860b1026827bb21e_large.png&width=512&type=webp&quality=40,cmu://808871/35565595/Screenshot+2024-12-05+10.38.04+PM.png
56,Shredded Wheat,80,2,0,0,3,16,0,1,https://target.scene7.com/is/image/Target/GUEST_d2b4e1ff-61ac-4f0d-9fce-21ea3f6d1683?wid=488&hei=488&fmt=pjpeg,cmu://808871/35565599/Screenshot+2024-12-05+10.39.15+PM.png
57,Shredded Wheat 'n'Bran,90,3,0,0,4,19,0,0.67,https://d2lnr5mha7bycj.cloudfront.net/product-image/file/large_5eeac9c7-b077-46db-add2-76631d41188f.JPG,cmu://808871/35565617/Screenshot+2024-12-05+10.41.16+PM.png
58,Smacks,110,2,1,70,1,9,15,0.75,https://images-na.ssl-images-amazon.com/images/I/81z%2BbYy3umL._SL1500_.jpg,cmu://808871/35565621/Screenshot+2024-12-05+10.42.00+PM.png
59,Special K,110,6,0,230,1,16,3,1,https://www.kroger.com/product/images/xlarge/front/0003800001621,cmu://808871/35565625/Screenshot+2024-12-05+10.42.46+PM.png
60,Strawberry Fruit Wheats,90,2,0,15,3,15,5,1,https://qph.fs.quoracdn.net/main-qimg-3c5272dfae73636928be9b19331e8659,cmu://808871/35565628/Screenshot+2024-12-05+10.43.35+PM.png
61,Total Raisin Bran,140,3,1,190,4,15,14,1,https://d2lnr5mha7bycj.cloudfront.net/product-image/file/large_5c9885b7-30ac-43ab-8a68-f5150647e0dc.JPG,cmu://808871/35565637/Screenshot+2024-12-05+10.44.41+PM.png
62,Total Whole Grain,100,3,1,200,3,16,3,1,https://images-na.ssl-images-amazon.com/images/I/91RUVgFAV0L._SL1500_.jpg,cmu://808871/35565646/Screenshot+2024-12-05+10.45.21+PM.png
63,Triples,110,2,1,250,0,21,3,0.75,https://i.pinimg.com/originals/a6/8c/6c/a68c6cecce2a14fdcee754e1a251ff35.jpg,cmu://808871/35565650/Screenshot+2024-12-05+10.46.44+PM.png
64,Trix,110,1,1,140,0,13,12,1,https://www.kroger.com/product/images/xlarge/front/0001600027532,cmu://808871/35565659/Screenshot+2024-12-05+10.47.40+PM.png
65,Wheat Chex,100,3,1,230,3,17,3,0.67,https://images-na.ssl-images-amazon.com/images/I/91iI6c5xyRL._SY445_.jpg,cmu://808871/35565667/Screenshot+2024-12-05+10.48.28+PM.png
66,Wheaties,100,3,1,200,3,17,3,1,https://images-na.ssl-images-amazon.com/images/I/619Rd-4%2B2mL._AC_SY606_.jpg,cmu://808871/35565669/Screenshot+2024-12-05+10.49.18+PM.png
67,Wheaties Honey Gold,110,2,1,200,1,16,8,0.75,https://www.mrbreakfast.com/cereal/c_1196_wheaties_honey_gold_box_front.jpg,cmu://808871/35565676/Screenshot+2024-12-05+10.49.58+PM.png